name,price,link,RAM Kapasitesi,Kamera Çözünürlüğü,Dahili Hafıza,Ön Kamera Çözünürlüğü,İşletim Sistemi,Şarj Hızı
iPhone 12 64 GB Beyaz,28.499,https://www.trendyol.com/apple/iphone-12-64-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-54706466,4.0,12.5,64.0,8.0,1,15.0
Galaxy A05s 128 GB,7.799,https://www.trendyol.com/samsung/galaxy-a05s-128-gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-793616437,4.0,50.0,128.0,10.0,0,30.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-naturel-titanyum-p-857296098,8.0,20.0,128.0,12.0,1,30.0
S19 Max Pro 256 GB 6,4.39,https://www.trendyol.com/reeder/s19-max-pro-256-gb-6-gb-ram-siyah-cep-telefonu-reeder-turkiye-garantili-p-335141517,6.0,20.0,256.0,16.0,0,70.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-beyaz-titanyum-p-857296096,8.0,20.0,128.0,12.0,1,30.0
S19 Max Pro 4GB+128 GB,3.849,https://www.trendyol.com/reeder/s19-max-pro-4gb-128-gb-siyah-cep-telefonu-reeder-turkiye-garantili-p-411322828,6.0,20.0,128.0,8.0,0,30.0
iPhone 16 256GB Beyaz,74.749,https://www.trendyol.com/apple/iphone-16-256gb-beyaz-p-857296135,8.0,20.0,256.0,12.0,1,30.0
iPhone 15 Plus 128 GB,59.975,https://www.trendyol.com/apple/iphone-15-plus-128-gb-siyah-p-762254831,6.0,20.0,128.0,12.0,1,90.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-naturel-titanyum-p-857296078,8.0,20.0,256.0,12.0,1,30.0
14T Pro 512 GB Siyah,41.29801,https://www.trendyol.com/xiaomi/14t-pro-512-gb-siyah-xiaomi-turkiye-garantili-p-859623150,12.0,50.0,512.0,8.0,0,30.0
iPhone 12 64 GB Mor Cep,27.499,https://www.trendyol.com/apple/iphone-12-64-gb-mor-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-102272722,4.0,12.5,64.0,8.0,1,15.0
Yenilenmiş Iphone 13,30.949,https://www.trendyol.com/apple/yenilenmis-iphone-13-128-gb-mavi-a-grade-p-689221923,4.0,20.0,128.0,12.0,0,30.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-beyaz-titanyum-p-857296102,8.0,20.0,256.0,12.0,1,30.0
Redmi 13 8 GB RAM 256,8.899,https://www.trendyol.com/xiaomi/redmi-13-8-gb-ram-256-gb-sari-cep-telefonu-xiaomi-turkiye-garantili-p-836127383,8.0,20.0,256.0,13.0,0,30.0
iPhone 16 Pro 256GB,89.949,https://www.trendyol.com/apple/iphone-16-pro-256gb-siyah-titanyum-p-857296104,8.0,20.0,256.0,12.0,1,30.0
Galaxy S23 Ultra 512,52.999,https://www.trendyol.com/samsung/galaxy-s23-ultra-512-gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-635097861,8.0,20.0,512.0,8.0,0,50.0
iPhone 16 Pro 128GB Çöl,82.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-col-titanyum-p-857296094,8.0,20.0,128.0,12.0,1,30.0
Galaxy S24 128 GB,32.199,https://www.trendyol.com/samsung/galaxy-s24-128-gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-792043222,8.0,20.0,128.0,12.0,0,30.0
iPhone 16 Pro 128GB,82.949,https://www.trendyol.com/apple/iphone-16-pro-128gb-siyah-titanyum-p-857296083,8.0,20.0,128.0,12.0,1,30.0
iPhone 14 128 GB Yıldız,42.349,https://www.trendyol.com/apple/iphone-14-128-gb-yildiz-isigi-p-355707118,6.0,20.0,128.0,12.0,1,30.0
iPhone 16 Pro Max 512GB,109.999,https://www.trendyol.com/apple/iphone-16-pro-max-512gb-col-titanyum-p-857296093,8.0,20.0,512.0,12.0,1,30.0
Redmi Note 12 128 GB 8,9.21549,https://www.trendyol.com/xiaomi/redmi-note-12-128-gb-8-gb-ram-buz-mavisi-cep-telefonu-xiaomi-turkiye-garantili-p-761535602,6.0,20.0,128.0,8.0,0,30.0
iPhone 11 128 GB Beyaz,26.999,https://www.trendyol.com/apple/iphone-11-128-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-64074794,4.0,20.0,128.0,12.0,1,15.0
Yenilenmiş Iphone 11,17.16997,https://www.trendyol.com/apple/yenilenmis-iphone-11-128-gb-beyaz-128-gb-beyaz-b-grade-p-688908361,4.0,20.0,128.0,12.0,0,30.0
iPhone 12 64 GB Beyaz,28.499,https://www.trendyol.com/apple/iphone-12-64-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-54706466,4.0,12.5,64.0,8.0,1,15.0
Galaxy A15 6 GB RAM,9.499,https://www.trendyol.com/samsung/galaxy-a15-6-gb-ram-128-gb-siyah-samsung-turkiye-garantili-p-793616427,6.0,50.0,128.0,10.0,0,30.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-naturel-titanyum-p-857296098,8.0,20.0,128.0,12.0,1,30.0
C65 8 GB RAM 256 GB Mavi,7.425,https://www.trendyol.com/poco/c65-8-gb-ram-256-gb-mavi-xiaomi-turkiye-garantili-p-809388025,8.0,20.0,256.0,8.0,0,15.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-beyaz-titanyum-p-857296096,8.0,20.0,128.0,12.0,1,30.0
iPhone 16 256GB Beyaz,74.749,https://www.trendyol.com/apple/iphone-16-256gb-beyaz-p-857296135,8.0,20.0,256.0,12.0,1,30.0
Galaxy S23 Ultra 512,52.999,https://www.trendyol.com/samsung/galaxy-s23-ultra-512-gb-krem-cep-telefonu-samsung-turkiye-garantili-p-635097866,8.0,20.0,512.0,8.0,0,50.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-naturel-titanyum-p-857296078,8.0,20.0,256.0,12.0,1,30.0
Galaxy S24 Ultra 512,64.349,https://www.trendyol.com/samsung/galaxy-s24-ultra-512-gb-titanyum-gri-samsung-turkiye-garantili-p-792557597,12.0,20.0,512.0,10.0,0,50.0
iPhone 12 64 GB Mor Cep,27.499,https://www.trendyol.com/apple/iphone-12-64-gb-mor-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-102272722,4.0,12.5,64.0,8.0,1,15.0
iPhone 15 Plus 128 GB,60.899,https://www.trendyol.com/apple/iphone-15-plus-128-gb-pembe-p-762254861,6.0,20.0,128.0,12.0,1,90.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-beyaz-titanyum-p-857296102,8.0,20.0,256.0,12.0,1,30.0
Galaxy S24 Ultra 256,60.348,https://www.trendyol.com/samsung/galaxy-s24-ultra-256-gb-titanyum-gri-samsung-turkiye-garantili-p-792557583,12.0,20.0,256.0,10.0,0,50.0
iPhone 16 Pro 256GB,89.949,https://www.trendyol.com/apple/iphone-16-pro-256gb-siyah-titanyum-p-857296104,8.0,20.0,256.0,12.0,1,30.0
Redmi 13C 8 GB RAM 256,8.40276,https://www.trendyol.com/xiaomi/redmi-13c-8-gb-ram-256-gb-lacivert-cep-telefonu-xiaomi-turkiye-garantili-p-789833302,8.0,20.0,256.0,8.0,0,15.0
iPhone 16 Pro 128GB Çöl,82.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-col-titanyum-p-857296094,8.0,20.0,128.0,12.0,1,30.0
Yenilenmiş Iphone 11,16.66997,https://www.trendyol.com/apple/yenilenmis-iphone-11-128-gb-mor-128-gb-mor-b-grade-p-689223273,4.0,20.0,128.0,12.0,0,30.0
Yenilenmiş Oppo Reno 5,7.499,https://www.trendyol.com/oppo/yenilenmis-oppo-reno-5-lite-128-gb-siyah-cep-telefonu-12-ay-garantili-c-kalite-p-852471374,7.875,20.0,128.0,12.0,0,30.0
iPhone 16 Pro 128GB,82.949,https://www.trendyol.com/apple/iphone-16-pro-128gb-siyah-titanyum-p-857296083,8.0,20.0,128.0,12.0,1,30.0
X6 Pro 5G 8 GB RAM 256,17.19144,https://www.trendyol.com/poco/x6-pro-5g-8-gb-ram-256-gb-siyah-cep-telefonu-p-795336745,8.0,20.0,256.0,12.0,0,30.0
iPhone 16 Pro Max 512GB,109.999,https://www.trendyol.com/apple/iphone-16-pro-max-512gb-col-titanyum-p-857296093,8.0,20.0,512.0,12.0,1,30.0
S19 Max 2 2/128 Gb,3.129,https://www.trendyol.com/reeder/s19-max-2-2-128-gb-beyaz-p-830228135,2.0,20.0,128.0,5.0,0,15.0
iPhone 11 128 GB Beyaz,26.999,https://www.trendyol.com/apple/iphone-11-128-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-64074794,4.0,20.0,128.0,12.0,1,15.0
Y28 256 Gb 8 Gb Ram (,8.518,https://www.trendyol.com/vivo/y28-256-gb-8-gb-ram-turkiye-garantili-p-840053587,8.0,50.0,256.0,8.0,0,30.0
iPhone 12 64 GB Beyaz,28.499,https://www.trendyol.com/apple/iphone-12-64-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-54706466,4.0,12.5,64.0,8.0,1,15.0
Yenilenmiş Galaxy A73,13.249,https://www.trendyol.com/samsung/yenilenmis-galaxy-a73-128-gb-cep-telefonu-12-ay-garantili-p-719468069,8.0,20.0,128.0,12.0,0,30.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-naturel-titanyum-p-857296098,8.0,20.0,128.0,12.0,1,30.0
Redmi 14C 8 GB RAM 256,8.969,https://www.trendyol.com/xiaomi/redmi-14c-8-gb-ram-256-gb-siyah-xiaomi-turkiye-garantili-p-869864073,8.0,20.0,256.0,13.0,0,15.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-beyaz-titanyum-p-857296096,8.0,20.0,128.0,12.0,1,30.0
V29 Lite 5g 256 Gb 8 Gb,11.999,https://www.trendyol.com/vivo/v29-lite-5g-256-gb-8-gb-ram-siyah-elmas-isiltisi-turkiye-garantili-p-745276956,8.0,20.0,256.0,12.0,0,30.0
iPhone 16 256GB Beyaz,74.749,https://www.trendyol.com/apple/iphone-16-256gb-beyaz-p-857296135,8.0,20.0,256.0,12.0,1,30.0
GM 23 Se 128,5.379,https://www.trendyol.com/general-mobile/gm-23-se-128-gb-4-2-gb-ram-cep-telefonu-p-773570083,4.0,20.0,128.0,8.0,0,15.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-naturel-titanyum-p-857296078,8.0,20.0,256.0,12.0,1,30.0
Galaxy M15 128 GB,7.72,https://www.trendyol.com/samsung/galaxy-m15-128-gb-acik-mavi-cep-telefonu-samsung-turkiye-garantili-p-809120276,4.0,20.0,128.0,10.0,0,50.0
iPhone 12 64 GB Mor Cep,27.499,https://www.trendyol.com/apple/iphone-12-64-gb-mor-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-102272722,4.0,12.5,64.0,8.0,1,15.0
Redmi Note 13 Pro 8 GB,14.3213,https://www.trendyol.com/xiaomi/redmi-note-13-pro-8-gb-ram-256-gb-mor-cep-telefonu-xiaomi-turkiye-garantili-p-797235141,8.0,20.0,256.0,16.0,0,70.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-beyaz-titanyum-p-857296102,8.0,20.0,256.0,12.0,1,30.0
Galaxy S23 FE 128 GB,22.787,https://www.trendyol.com/samsung/galaxy-s23-fe-128-gb-gri-samsung-turkiye-garantili-p-767487797,8.0,20.0,128.0,8.0,0,30.0
iPhone 16 Pro 256GB,89.949,https://www.trendyol.com/apple/iphone-16-pro-256gb-siyah-titanyum-p-857296104,8.0,20.0,256.0,12.0,1,30.0
Hot 40i 8gb Ram 8gb,7.6,https://www.trendyol.com/infinix/hot-40i-8gb-ram-8gb-sanal-ram-256gb-hafiza-siyah-turkiye-garantili-p-786061979,8.0,50.0,256.0,32.0,0,50.0
iPhone 16 Pro 128GB Çöl,82.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-col-titanyum-p-857296094,8.0,20.0,128.0,12.0,1,30.0
Galaxy S24 Ultra 256,60.999,https://www.trendyol.com/samsung/galaxy-s24-ultra-256-gb-titanyum-siyah-samsung-turkiye-garantili-p-792557582,12.0,20.0,256.0,10.0,0,50.0
iPhone 16 Pro 128GB,82.949,https://www.trendyol.com/apple/iphone-16-pro-128gb-siyah-titanyum-p-857296083,8.0,20.0,128.0,12.0,1,30.0
Redmi Note 13 Pro 8 GB,14.4845,https://www.trendyol.com/xiaomi/redmi-note-13-pro-8-gb-ram-256-gb-yesil-cep-telefonu-xiaomi-turkiye-garantili-p-797235140,8.0,20.0,256.0,16.0,0,70.0
iPhone 16 Pro Max 512GB,109.999,https://www.trendyol.com/apple/iphone-16-pro-max-512gb-col-titanyum-p-857296093,8.0,20.0,512.0,12.0,1,30.0
Galaxy A25 5g 8 Gb,12.999,https://www.trendyol.com/samsung/galaxy-a25-5g-8-gb-ram-256-gb-siyah-p-793616434,8.0,50.0,256.0,10.0,0,30.0
iPhone 11 128 GB Beyaz,26.999,https://www.trendyol.com/apple/iphone-11-128-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-64074794,4.0,20.0,128.0,12.0,1,15.0
Yenilenmiş iPhone X 64,11.199,https://www.trendyol.com/apple/yenilenmis-iphone-x-64-gb-gumus-cep-telefonu-12-ay-garantili-a-kalite-p-689226938,4.0,20.0,64.0,12.0,0,30.0
iPhone 12 64 GB Beyaz,28.499,https://www.trendyol.com/apple/iphone-12-64-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-54706466,4.0,12.5,64.0,8.0,1,15.0
Redmi Note 13 8 GB RAM,10.999,https://www.trendyol.com/xiaomi/redmi-note-13-8-gb-ram-256-gb-yesil-xiaomi-turkiye-garantili-p-808570629,8.0,20.0,256.0,12.0,0,30.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-naturel-titanyum-p-857296098,8.0,20.0,128.0,12.0,1,30.0
Yenilenmiş Samsung,28.199,https://www.trendyol.com/samsung/yenilenmis-samsung-galaxy-s23-256-gb-yesil-cep-telefonu-12-ay-garantili-b-kalite-p-848786068,7.875,20.0,256.0,12.0,0,30.0
iPhone 16 Pro 128GB,81.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-beyaz-titanyum-p-857296096,8.0,20.0,128.0,12.0,1,30.0
S23 Pro Max 256 GB,5.299,https://www.trendyol.com/reeder/s23-pro-max-256-gb-mavi-cep-telefonu-reeder-turkiye-garantili-p-774657326,8.0,20.0,256.0,20.0,0,15.0
iPhone 16 256GB Beyaz,74.749,https://www.trendyol.com/apple/iphone-16-256gb-beyaz-p-857296135,8.0,20.0,256.0,12.0,1,30.0
Galaxy A35 256 GB,15.155,https://www.trendyol.com/samsung/galaxy-a35-256-gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-816445621,8.0,50.0,256.0,13.0,0,30.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-naturel-titanyum-p-857296078,8.0,20.0,256.0,12.0,1,30.0
S19 Max Pro S 8GB+128,4.039,https://www.trendyol.com/reeder/s19-max-pro-s-8gb-128-gb-mor-cep-telefonu-reeder-turkiye-garantili-p-686788998,8.0,17.5,128.0,5.0,0,15.0
iPhone 12 64 GB Mor Cep,27.499,https://www.trendyol.com/apple/iphone-12-64-gb-mor-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-102272722,4.0,12.5,64.0,8.0,1,15.0
iPhone 15 Pro 128 GB,81.399,https://www.trendyol.com/apple/iphone-15-pro-128-gb-naturel-titanyum-p-762254869,8.0,20.0,128.0,12.0,1,70.0
iPhone 16 Pro Max 256GB,99.999,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-beyaz-titanyum-p-857296102,8.0,20.0,256.0,12.0,1,30.0
12Pro 8GB+256GB Akıllı,16.79899,https://www.trendyol.com/realme/12pro-8gb-256gb-akilli-telefon-kasif-beji-p-848512531,8.0,50.0,256.0,12.0,0,30.0
iPhone 16 Pro 256GB,89.949,https://www.trendyol.com/apple/iphone-16-pro-256gb-siyah-titanyum-p-857296104,8.0,20.0,256.0,12.0,1,30.0
iPhone 14 128 GB Mor,42.349,https://www.trendyol.com/apple/iphone-14-128-gb-mor-p-355707172,6.0,20.0,128.0,12.0,1,30.0
iPhone 16 Pro 128GB Çöl,82.999,https://www.trendyol.com/apple/iphone-16-pro-128gb-col-titanyum-p-857296094,8.0,20.0,128.0,12.0,1,30.0
Yenilenmiş iPhone 13,50.999,https://www.trendyol.com/apple/yenilenmis-iphone-13-pro-128-gb-altin-a-grade-p-689223374,4.0,20.0,128.0,12.0,0,30.0
